cve,change,date
CVE-2023-40477,0.81136,2025-04-15
CVE-2024-30568,0.8102,2025-03-28
CVE-2023-36255,0.80409,2025-03-26
CVE-2024-7314 ,0.75756,2025-04-05
CVE-2023-36824,0.74793,2025-04-15
CVE-2017-12637,0.72812,2025-03-20
CVE-2023-41249,0.69238,2025-04-15
CVE-2024-3080 ,0.68676,2025-03-22
CVE-2023-46042,0.6592300000000001,2025-04-15
CVE-2023-33735,0.65704,2025-04-15
CVE-2023-4568 ,0.6551500000000001,2025-04-15
CVE-2023-33404,0.6526599999999999,2025-04-15
CVE-2023-6016 ,0.65037,2025-04-15
CVE-2023-44443,0.6483899999999999,2025-04-08
CVE-2023-41064,0.64661,2025-04-15
CVE-2024-2387 ,0.64508,2025-03-25
CVE-2023-39109,0.6443599999999999,2025-04-15
CVE-2023-39108,0.6443599999999999,2025-04-15
CVE-2023-39110,0.6443599999999999,2025-04-15
CVE-2007-1277 ,0.63002,2025-03-30
